papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
BLAU3,23.12,11.43,2.28,2.948,0.0297,1.66,3.17,9.14,4.16,8.4,8.01,0.32270000000000004,0.25579999999999997,0.26839999999999997,0.1991,4.52,9505180.0,1822160000.0,0.17,0.1629
BLUT3,5.14,-5.63,0.46,0.0,0.0,0.138,-0.76,-42.93,-0.2,-53.97,-53.97,0.0,0.0,-0.0033,-0.0824,0.0,3091.81,56569000.0,0.12,0.0
BLUT4,1.52,-1.66,0.14,0.0,0.0,0.041,-0.22,-12.69,-0.06,-23.74,-23.74,0.0,0.0,-0.0033,-0.0824,0.0,10453.2,56569000.0,0.12,0.0
BMEB3,10.56,5.52,0.87,0.0,0.0506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,0.0,3153.93,1273010000.0,0.0,0.17670000000000002
BMEB4,10.04,5.25,0.83,0.0,0.058600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,0.0,48043.9,1273010000.0,0.0,0.17670000000000002
BMEF3,11.0,0.0,4.16,0.0,0.0,3.482,10.24,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,2674780000.0,0.0,0.0
BMGB11,33.6,21.66,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574,0.0,0.0,3939450000.0,0.0,-0.0347
BMGB4,2.0,5.16,0.3,0.0,0.1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574,0.0,2222840.0,3939450000.0,0.0,-0.0347
BMIN3,16.45,8.13,0.6,0.0,0.0863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739,0.0,603.71,132130000.0,0.0,0.1617
BMIN4,13.5,6.67,0.49,0.0,0.11779999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739,0.0,5200.56,132130000.0,0.0,0.1617
BMKS3,387.0,6.7,0.87,9.505,0.0462,0.754,0.98,-25.47,1.09,-0.64,-0.65,-0.3732,1.4177000000000002,-0.1151,0.129,15.38,4972.64,203449000.0,0.0,0.073
BMOB3,13.55,14.4,1.16,0.835,0.016399999999999998,0.913,1.98,12.18,2.09,6.45,3.96,0.06860000000000001,0.057999999999999996,0.1534,0.0808,3.4,4457320.0,1058530000.0,0.0,1.1848999999999998
BMTO3,7.82,17.84,2.14,0.0,0.0,2.097,0.0,-2711.85,0.0,-2710.74,-1526.3,0.0,0.0,0.0,0.12,0.0,0.0,1046320000.0,0.0,0.0
BMTO4,7.57,17.27,2.07,0.0,0.0,2.03,0.0,-2625.16,0.0,-2624.05,-1477.48,0.0,0.0,0.0,0.12,0.0,0.0,1046320000.0,0.0,0.0
BNBR3,75.0,3.21,0.72,0.0,0.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22399999999999998,0.0,3816.93,8996180000.0,0.0,0.2234
BNBR4,27.01,1.16,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22399999999999998,0.0,0.0,8996180000.0,0.0,0.2234
BNCA3,70.3,-90.3,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027200000000000002,0.0,0.0,3068150000.0,0.0,0.0241
BOAS3,7.67,13.72,1.86,4.683,0.0348,1.514,3.02,18.95,3.17,12.58,6.6,0.24710000000000001,0.34130000000000005,0.1697,0.1354,4.11,10552400.0,2199220000.0,0.0,0.0913
BOBR3,1.0,11.54,-1.67,0.177,0.0,0.301,-1.19,1.73,-0.43,4.18,3.55,0.1024,0.0154,0.2302,-0.1451,0.65,0.0,-155672000.0,-2.58,0.0782
BOBR4,1.18,13.61,-1.97,0.209,0.0,0.356,-1.4,2.04,-0.51,4.49,3.81,0.1024,0.0154,0.2302,-0.1451,0.65,17707.0,-155672000.0,-2.58,0.0782
BOVH3,15.71,0.0,6.16,0.0,0.0,4.874,6.9,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,1843320000.0,0.0,0.0
BPAC11,20.45,10.0,1.85,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18510000000000001,0.0,289910000.0,42371800000.0,0.0,0.342
BPAC3,10.5,15.41,2.85,0.0,0.0209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18510000000000001,0.0,83014.7,42371800000.0,0.0,0.342
BPAC5,5.1,7.48,1.38,0.0,0.0429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18510000000000001,0.0,39430.8,42371800000.0,0.0,0.342
BPAN4,4.88,8.8,0.81,0.0,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916,0.0,16890400.0,7706050000.0,0.0,0.171
BPAR3,182.07,9.69,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10529999999999999,0.0,0.0,1699350000.0,0.0,0.0072
BPAT33,20.0,0.0,0.82,0.0,0.35719999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876492000.0,0.0,0.0
BPHA3,0.62,0.06,-0.24,-20.054,0.0,0.995,-0.38,0.78,-0.2,1.6,1.43,-25.8169,-336.525,4.0100999999999996,-4.025,0.06,0.0,-292294000.0,-0.26,-0.5339
BPIA3,6.1,5.64,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1884,0.0,0.0,77395000.0,0.0,0.1341
